q0001,世界最古の人類を何というか。カタカナで答えなさい。,サヘラントロプスチャデンシス
q0118,遣隋使の大使として派遣された人物とは誰か。,小野妹子
q0119,聖徳太子とともに推古天皇を補佐した人物と誰か。,蘇我馬子
q0120,６世紀末に天皇に即位した最初の女帝で聖徳太子のおばとは誰か。,推古天皇
q0121,聖徳太子が建立した現存する世界最古の木造建築物とは何か。,法隆寺
q0122,７世紀初めに隋の滅亡にともない新たに建国された王朝は何か。,唐
q0123,唐の文化や制度を学ぶために、日本から送られた使節を何というか。,遣唐使
q0124,７世紀半ば、蘇我氏の独裁に対して立ち上がった皇族とは誰か。,中大兄皇子
q0125,７世紀半ば、中大兄皇子とともに政治改革を行った人物は誰か。,中臣鎌足
q0126,６４５年から始まった、蘇我氏を倒し天皇中心の政治への転換を図る政治改革を何というか。,大化の改新
q0127,これまで各地域で豪族が支配をしていた土地や人民を朝廷が一括で管理するように変わった制度を何というか。,公地公民
q0128,日本え始めて定められた元号とは何か。,大化
q0129,６６３年に百済の救済のため朝鮮半島に兵を送り、唐新羅の連合軍に敗れた戦いを何というか。,白村江の戦い
q0130,日本とともに白村江の戦いを戦い、結果滅亡した朝鮮半島の国とはどこか。,百済
q0131,大化の改新後、豪族の影響を薄めるために移された都とはどこか。,難波宮
q0132,白村江の戦いに敗れ、防衛を強化するために都が移されたのはどこか。,大津宮
q0133,天武天皇の時代に導入された、日本最古の貨幣を何というか。,富本銭
q0134,白村江の戦いに敗れたのち、中大兄皇子が即位した天皇とは誰か。,天智天皇
q0135,天智天皇の死後、後継ぎをめぐって起こった戦いを何というか。,壬申の乱
q0136,白村江の戦いののち、海沿いに大陸からの攻撃を防ぐために建てられた設備を何というか。,水城
q0137,白村江の戦いご大陸からの攻撃を恐れ、海沿いの山の上に建てたものは何か。,大野城
q0138,壬申の乱に勝利した大海人皇子が即位した天皇とは誰か。,天武天皇
q0139,天武天皇の死後その跡を継いだのは誰か。,持統天皇
q0140,飛鳥に戻っていた政権が新たに都として移したのはどこか。,藤原京
q0141,遣唐使が派遣されていた、当時の都とはどこか。,長安
q0142,中国にならい、日本でも701年に制定された決まりを何というか。,大宝律令
q0143,律令制度を持ち法のもとに運営される国を何と呼ぶか。,律令国家
q0144,律令制度の元に組まれた大和政権での政治の仕組みをその役所の数にちなんで何というか。,二官八省
q0145,二官八省で、二官とは太政官とあと一つは何か。,神祇官
q0146,二官八省で、二官とは神祇官とあと一つは何か。,太政官
q0147,710年に新たに都になったのはどこか。,平城京
q0148,奈良時代、主に都周辺で流通した貨幣とは何か。,和同開珎
q0149,全国を畿内と7つの地域に分ける分け方を何というか。,五畿七道
q0150,全国の支配のために朝廷から各国に派遣される役人を何というか。,国司
q0151,各地域で、派遣された国司によって地域の豪族を指名して地域の支配を任せた役職を何というか。,郡司
q0152,大陸からの侵攻への防衛や外交の中心となる九州に設置された役所とは何か。,大宰府
q0153,東北地方での領土拡大と東日本地域の支配を担った役所とは何か。,多賀城
q0154,全国の道路整備を進める中で、役人が行き来するために乗り継ぎ用の馬を常駐させた施設を何というか。,駅
q0155,奈良時代の律令制度のもと、何歳以上の男女に土地が割り当てられたか。,６歳/６歳以上/６
q0156,６歳以上の男女に区に変わらり充てられた土地を何というか。,口分田
q0157,６歳以上の男女に土地を割り当て税を納めさせ、死ぬと返却させる仕組みを何というか。,班田収授法
q0158,税制度の一つで口分田の面積に応じて稲を納めさせるものを何というか。,租
q0159,税制度の一つで租という税では、収穫量の約何％の稲が納めさせられたか。,３％/３
q0160,税制度の一つで、成人男子にのみ課されるもので、麻の布もしくは１０日間の労役を課されるものを何というか。,庸
q0161,税制度の一つで、庸とは、成人男子に１０日間の労役もしくは、何を求めたか。,麻の布/布
q0162,税制度の一つで、調とは何を納める税か。,特産品/地域の特産品
q0163,税制度の一つで、成人男子にのみ課されるもので、地域の特産品を求めるものを何というか。,調
q0164,税制度の一つで、労役のうち、九州北部の警備に当てられる人を何というか。,防人
q0165,税制度のうち男女ともに課される税とは何か。,租
q0166,班田収授法の行き詰まりに対して７２３年に制定された、開墾した土地を3代に渡って所有できるという決まりを何というか。,三世一身法/三世一身の法
q0167,三世一身法では、開墾者から何代に渡って土地の所有が認められたか。,３/３代
q0168,７４３年に新たに制定された、開墾した土地は永久に所有を引き継げるという決まりを何というか。,墾田永年私財法
q0169,墾田永年私財法の制定によって、この決まりを利用して貴族や寺社が広げた私有地を何というか。,荘園
q0170,奈良時代に仏教の力を利用して国を治めようとし大仏の造立などを行った天皇とはだれか。,聖武天皇
q0171,聖武天皇が目指した仏教の力により国家の安寧を目指す考え方を何というか。,鎮護国家
q0172,奈良時代に栄えた文化で遣唐使が持ち帰った大陸の文化などが織り交ざった国際色豊かな文化を何というか。,天平文化
q0173,遣唐使が持ち帰った宝物など聖武天皇らの所持品が収蔵されている東大寺に造られた倉庫を何というか。,正倉院
q0174,正倉院に見られるような組木で作られた建築法を何というか。,校倉造
q0175,聖武天皇が鎮護国家をすすめるために全国に造らせた寺院を何というか。,国分寺/国分尼寺
q0176,聖武天皇が鎮護国家をすすめるために全国に造らせた女性の僧が入る寺院を何というか。,国分尼寺
q0177,聖武天皇が鎮護国家をすすめるために平城京に造らせた国分寺の総本山とはどこか。,東大寺
q0178,東大寺の大仏を造立するために、民衆の指示を任された僧とは誰か。,行基
q0179,偽僧侶が増加したことで、国内での仏教制度の整備のため中国から招かれた僧とは誰か。,鑑真
q0180,仏教とともに大陸から伝わった漢字を用いて、漢字の音で表現した文字を何というか。,万葉仮名
q0181,神話や伝承をもとに物語調に書かれた歴史書を何というか。,古事記
q0182,神話や伝承などをもとに編年調で書かれた日本の正史を何というか。,日本書紀
q0183,皇族から庶民まで４５００首ほどの歌がまとめられた最古の歌集とは何か。,万葉集
q0184,万葉集にも掲載されている、九州へと兵役に向かう人々が詠んだ歌を何というか。,防人歌
q0185,各地の伝説や特産品・気候などの風土をまとめたものを何というか。,風土記
q0186,成人男性に課される60日以内の地方での肉体労働を何というか。,雑徭
q0187,平城京から都を移すことを決めた天皇とは誰か,桓武天皇
q0188,７８４年、平城京から移された都とはどこか。,長岡京
q0189,７９４年、以降江戸時代が終わるまで都として使われた都はどこか。,平安京
q0190,平安時代、朝廷の領土拡大について妨げとなった北の地域の先住民を何というか。,蝦夷
q0191,平安時代、朝廷の領土拡大に対して抵抗した蝦夷の指導者はだれか。,アテルイ
q0192,朝廷が領土拡大のために派遣し、東北地方の占領に成功した人物とは誰か。,坂上田村麻呂
q0193,坂上田村麻呂が領土拡大のために新たに賀城から拠点を移した場所はどこか。,胆沢城
q0194,中国の密教を学ぶために遣唐使とともに中国に渡り真言宗を開いた人物は誰か。,空海
q0195,中国の密教を学ぶために遣唐使とともに中国に渡り天台宗を開いた人物は誰か。,最澄
q0196,中国の密教を学び帰国した空海が開いた宗派は何か。,真言宗
q0197,中国の密教を学び帰国した最澄が開いた宗派は何か。,天台宗
q0198,中国から帰国した空海が開いた寺院は何か。,金剛峯寺
q0199,中国から帰国した最澄が開いた寺院は何か。,延暦寺
q0200,８９４年、遣唐使の廃止を訴えた人物とは誰か。,菅原道真
q0201,衰退する唐を滅ぼし新たに興った王朝とは何か。,宋
q0202,天皇が女帝や幼少時に天皇に代わって政治を行う役職を何というか。,摂政
q0203,天皇が成人後、天皇の政治の補佐役として政治を行う役職を何というか。,関白
q0204,自らの娘を天皇の妃にして、生まれた子どもを天皇にしたのちその後見役として政治を行う政治を何というか。,摂関政治
q0205,自らの娘を４人、天皇の妃にして、藤原氏の摂関政治のピークを作った人物は誰か。,藤原道長
q0206,道長の息子で、宇治に平等院鳳凰堂を建てるなどした人物は誰か。,藤原頼通
q0207,藤原氏など平安時代の貴族の邸宅に見られる建築様式を何というか。,寝殿造
q0208,シャカの死後１０００年経過するとその法力が弱まり、世の中が乱れ始めるという考えを何というか。,末法思想
q0209,念仏を唱えることで、死後、阿弥陀仏により極楽へと生まれ変われるという考えを何というか。,浄土信仰
q0210,藤原頼通が、浄土信仰の考えの元、宇治で道長の別荘を改築して建てた阿弥陀堂を何というか。,平等院鳳凰堂
q0211,唐が滅び宋が生まれたことで、これまでの中国風の文化ではなく日本の風土や習慣に合わせてつくられた文化を何というか。,国風文化
q0212,国風文化の中で、漢字を書き崩して作られた文字を何というか。,平仮名
q0213,国風文化の中で、漢字の一部を取って作られた文字を何というか。,片仮名
q0214,源氏物語の作者とは誰か,紫式部
q0215,枕草子の作者とは誰か。,清少納言
q0216,古今和歌集の編者とは誰か。,紀貫之
q0217,平安時代に書かれた日本最古の物語文とは何か。,竹取物語
q0218,紫式部が書いた、平安時代の宮廷を舞台にした物語文とは何か。,源氏物語
q0219,清少納言が書いた、宮廷での日常をつづった随筆とは何か。,枕草子
q0220,紀貫之が編纂した日本最古の勅撰和歌集とは何か。,古今和歌集
q0221,国風文化が広まる中で描かれた、日本の自然や風景、歴史、年中行事などを、豊かな色彩と優美な線で描いた絵を何というか。,大和絵
q0222,摂関政治が終わり天皇による親政を再開した天皇とは誰か。,後三条天皇
q0223,天皇が生前に位を譲り、自らは院に入り政治を続行することを何というか。,院政
q0224,11世紀終わりに、院政をはじめ実権を握るなど院政による政治を本格化させた上皇とは誰か。,白河上皇
q0225,寺社の領地や権益を守るための自衛組織として武装した僧侶や寺院の私兵のことを何というか。,僧兵
q0226,比叡山の僧兵などが、自らの意見を通すために実力や武力で訴える行為を何というか。,強訴
q0227,武士団の長を何というか。,棟梁
q0228,10世紀中ごろ、武士団の形成が進む中で、関東地方で反乱を起こした武士団の反乱を何というか。,平将門の乱
q0229,10世紀中ごろ、瀬戸内の海賊の鎮圧に向かい、自らが海賊の長となり都を攻撃した反乱を何というか。,藤原純友の乱
q0230,瀬戸内の海賊の鎮圧など、西日本を拠点に勢力を拡大した武士団の一族を何というか,平氏
q0231,東北地方での戦乱の鎮圧など東日本を拠点に勢力を拡大した武士団の一族を何というか。,源氏
q0232,前九年の役・後三年の役の結果東北地方6国を支配することになった一族を何というか。,奥州藤原氏
q0233,土地を所有する地方の有力者が都の貴族など位の高い人に土地を受け渡し自らは土地の管理人として留まる形の荘園を何というか。,寄進地系荘園
q0234,1156年に発生した天皇家の後継ぎ争いから発生した戦乱を何というか。,保元の乱
q0235,保元の乱で勝利した天皇とは誰か。,後白河天皇
q0236,保元の乱で敗れ、讃岐に送られた上皇とは誰か。,崇徳上皇
q0237,保元の乱後、藤原家の権力争いと武士団の権力争いから起こった戦乱とは何か。,平治の乱
q0238,平治の乱に勝利し、武士として初めて太政大臣についた人物とは誰か。,平清盛
q0239,平治の乱に敗れた源氏の棟梁とは誰か。,源義朝
q0240,太政大臣に就任した清盛が整備した港とはどこか。,兵庫の港
q0241,太政大臣に就任した清盛が貿易をした相手とはどこか。,宋
q0242,清盛が行った当時の中国との貿易を何というか。,日宋貿易
q0243,清盛が海運の安全と平家の?栄を願って建てた神社とはどこか。,厳島神社
q0244,清盛が武士として初めて就任した官職とは何か。,太政大臣
q0245,平氏による政治の独占に対して立ち上がった、源氏の棟梁とは誰か。,源頼朝
q0246,平氏討伐の密書を受けて信州で挙兵した人物とは誰か。,源義仲
q0247,源氏による平家討伐の先頭に立ち壇ノ浦で平家を滅ぼした人物とは誰か。,源義経
q0248,義経の追討を口実に頼朝が各荘園に置いた役人を何というか。,地頭
q0249,義経の追討を口実に頼朝が各国に置いた役人を何というか。,守護
q0250,頼朝が幕府を開くために就任した官職とは何か。,征夷大将軍
q0251,征夷代将軍に就任した頼朝が幕府を開いた場所とはどこか。,鎌倉
q0252,幕府を開いた頼朝に従う武士の事を何というか。,御家人
q0253,御家人が幕府のために駆け付けたり戦うことを何というか。,奉公
q0254,御家人の働きに応じて、将軍（幕府）が御家人に土地を与えたり保障することを何というか。,御恩
q0255,鎌倉幕府において、将軍の補佐役をする役職を何というか。,執権
q0256,鎌倉幕府において、御家人の統率や軍事を担当する役所を何というか,侍所
q0257,鎌倉幕府において、財政や政治を担当する役所を何というか,政所
q0258,鎌倉幕府において、裁判やもめごとの仲裁を行う役所を何というか。,問注所
q0259,承久の乱後、西日本の管理や朝廷の監視を行った役所を何というか。,六波羅探題
q0260,鎌倉幕府において執権職についた一族とは誰か。,北条氏
q0261,源氏の将軍が途絶えた後、執権を中心とした政治を始めた人物は誰か。,北条時政
q0262,鎌倉幕府内での争いに目を付けた後鳥羽上皇によって起こされた戦いを何というか。,承久の乱
q0263,鎌倉幕府倒幕の動きを見せたが、承久の乱で敗れ隠岐に流された上皇とは誰か。,後鳥羽上皇
q0264,承久の乱の際、朝廷側に御家人が流れないよう演説を行いまとめた人物とは誰か。,北条政子
q0265,承久の乱後、武士の習わしをもとに北条泰時によって作られた法律とは何か。,御成敗式目/貞永式目
q0266,武士の習わしなどもとに御成敗式目を制定した執権とは誰か。,北条泰時
q0267,鎌倉時代に広まった、御家人たちが暮らす周りを板葺きの塀や堀などで囲まれた質素な造の家を何というか。,武家造
q0268,鎌倉時代の御家人たちが日ごろ行っていた馬や弓矢などの武芸の鍛錬を何というか。,弓馬の道
q0269,御家人が行う武芸の鍛錬の一つで馬に乗り止まった的を射抜く訓練を何というか。,流鏑馬
q0270,御家人が行う武芸の鍛錬の一つで吊られた編み笠を射抜く訓練を何というか。,笠懸
q0271,御家人が行う武芸の鍛錬の一つで広場に放たれた犬を標的として打つ訓練を何というか。,犬追物
q0272,御家人の家族内で、一家の長である惣領が死んだ後、領地を引き継ぐ方法を何というか。,分割相続
q0273,荘園などの管理をする御家人の不正を幕府に訴え、領地を分割し、一部の権利をすべて地頭にゆだねる代わりに、残りには一切口出しをさせないようにしたことを何というか。,下地中分
q0274,鎌倉時代に始まり、西日本を中心に広まった、米の裏作で稲などを作ることを何というか。,二毛作
q0275,鎌倉時代に肥料として使われ始めた植物を燃やした後の灰を何というか。,草木灰
q0276,鎌倉時代に増えた手工業者の中で、繊維を染める仕事を何というか。,紺屋
q0277,鎌倉時代に増えた手工業者の中で、金属を打って刃物などを作る仕事を何というか。,鍛冶屋
q0278,鎌倉時代に市場で出回り使われていた、中国から輸入したお金を何というか。,宋銭
q0279,鎌倉時代に経済の発展とともに自社の門前や交通の要所などで月に数回開かれた市場を何というか。,定期市
q0280,鎌倉文化の代表的な建築物で、源平の合戦で焼失し再建された東大寺の門を何というか,南大門/東大寺南大門
q0281,東大寺南大門に収蔵されている二体で一対の像を何というか。,金剛力士像
q0282,東大寺南大門の金剛力士像の作者は、快慶と誰か。,運慶
q0283,東大寺南大門の金剛力士像の作者は、運慶と誰か。,快慶
q0284,後鳥羽上皇の命で藤原定家によって編纂された勅撰和歌集とは何か。,新古今和歌集
q0285,後鳥羽上皇の命で新古今和歌集を編纂した人物は誰か。,藤原定家
q0286,藤原定家に新古今和歌集の編纂を命じた皇族とは誰か。,後鳥羽上皇
q0287,これまでの大和絵とは異なり、より写実的にありのままに描いた肖像画を何というか。,似絵
q0288,琵琶法師の語り部になっていた主に盲目の僧侶を何というか。,琵琶法師
q0289,琵琶法師らによって語り継がれた源平の合戦での武士の戦いをえがいた軍記物を何というか。,平家物語
q0290,鴨長明が著した随筆集を何というか。,方丈記
q0291,方丈記の作者とは誰か。,鴨長明
q0292,兼好法師が著した随筆集を何というか。,徒然草
q0293,徒然草の作者とは誰か。,兼好法師/吉田兼好
q0294,鎌倉時代に生まれた仏教の宗派の一つで、法然によって開かれた宗派を何というか。,浄土宗
q0295,浄土宗を開いた僧とは誰か。,法然
q0296,鎌倉時代に生まれた仏教の宗派の一つで、親鸞によって開かれた宗派を何というか。,浄土真宗
q0297,浄土真宗を開いた僧とは誰か。,親鸞
q0298,鎌倉時代に生まれた仏教の宗派の一つで、一遍によって開かれた宗派を何というか。,時宗
q0299,時宗を開いた僧とは誰か。,一遍
q0300,一遍が時宗の普及のために用いた方法を何というか。,踊念仏
q0301,鎌倉時代に生まれた仏教の宗派の一つで、日蓮によって開かれた宗派を何というか。,日蓮宗/法華宗
q0302,日蓮宗を開いた僧とは誰か。,日蓮宗
q0303,念仏宗が唱える念仏とは何か。,南無阿弥陀仏
q0304,日蓮宗で唱えるお題目とは何か。,南無妙法蓮華経
q0305,鎌倉時代に宋から入ってきた念仏や題目を唱えず座禅を組み自らの精神で悟りを開こうとする宗派を何というか。,禅宗
q0306,禅宗の一つで、栄西によって開かれた宗派を何というか。,臨済宗
q0307,臨済宗を開いた僧とは誰か。,栄西
q0308,禅宗の一つで、道元によって開かれた宗派を何というか。,曹洞宗
q0309,曹洞宗を開いた僧とは誰か。,道元
q0310,鎌倉時代に仏教に対抗して、日本独自の神道の形を形成した動きを何というか。,神仏習合
q0311,ローマ帝国分裂にともない、西ローマ内に広まったキリスト教の宗派を何というか。,カトリック
q0312,ローマ帝国分裂にともない、東ローマ内に広まったキリスト教の宗派を何というか。,正教会
q0313,ローマ帝国分裂後、東部側に広まったローマ帝国を何というか。,ビザンツ帝国
q0314,１５世紀半ばにビザンツ帝国を滅ぼした国とはどこか。,オスマン帝国
q0315,７世紀ごろアラビア半島を中心に広まったイスラム教信者たちの支配地を何というか。,イスラム帝国/イスラーム国家
q0316,イスラムの文化の一つでモスクなどにも用いられている幾何学模様を何というか。,アラベスク
q0317,１１世紀末から始まった、キリスト教の聖地奪還のための組織を何というか。,十字軍
q0318,イスラム帝国により占領されたキリスト教の聖地とはどこか。,エルサレム
q0319,１３世紀初めにモンゴル一帯の遊牧民をまとめた人物とは誰か。,チンギスハン/チンギス・ハン
q0320,１３世紀初めチンギスハンによって作られた国とは何か。,モンゴル帝国
